Metric,Monthly Averages,Fog Status,Year,Mean,se
5,Avg Daily Min VSB,Foggiest,2007,17.31371,3.287571
5,Avg Daily Min VSB,Foggiest,2008,25.43384,5.265945
5,Avg Daily Min VSB,Foggiest,2009,13.5116,1.741295
5,Avg Daily Min VSB,Foggiest,2010,17.51714,1.692695
5,Avg Daily Min VSB,Foggiest,2011,10.69328,1.683378
5,Avg Daily Min VSB,Foggiest,2012,13.27661,4.7655
5,Avg Daily Min VSB,Foggiest,2013,20.7322,5.958566
5,Avg Daily Min VSB,Foggiest,2014,14.06962,2.163122
5,Avg Daily Min VSB,Foggiest,2015,18.8129,5.80942
5,Avg Daily Min VSB,Foggiest,2016,NA,NA
6,Avg Daily Min VSB,Leasy Foggy,2002,36.31601,5.008628
6,Avg Daily Min VSB,Leasy Foggy,2003,42.82156,2.059823
6,Avg Daily Min VSB,Leasy Foggy,2004,42.20132,3.661063
6,Avg Daily Min VSB,Leasy Foggy,2005,28.81406,4.374598
6,Avg Daily Min VSB,Leasy Foggy,2006,26.42437,3.972406
6,Avg Daily Min VSB,Leasy Foggy,2007,28.79494,3.857237
6,Avg Daily Min VSB,Leasy Foggy,2008,35.20721,3.269213
6,Avg Daily Min VSB,Leasy Foggy,2009,28.67823,4.687049
6,Avg Daily Min VSB,Leasy Foggy,2010,26.52469,2.449407
6,Avg Daily Min VSB,Leasy Foggy,2011,31.81683,5.59854
6,Avg Daily Min VSB,Leasy Foggy,2012,28.16952,3.927751
6,Avg Daily Min VSB,Leasy Foggy,2013,30.66461,4.224751
6,Avg Daily Min VSB,Leasy Foggy,2014,26.04273,3.51133
6,Avg Daily Min VSB,Leasy Foggy,2015,30.8964,4.882051
6,Avg Daily Min VSB,Leasy Foggy,2016,43.60623,15.246403
